Nov 26 2017;0.151748;0.231365;0.151579;0.196566;10447;7398090
Nov 25 2017;0.140062;0.159015;0.139434;0.151799;8297;6823130
Nov 24 2017;0.153650;0.158568;0.138099;0.140346;3225;7479370
Nov 23 2017;0.143941;0.204695;0.137441;0.153861;11985;7000590
Nov 22 2017;0.133071;0.145080;0.132055;0.143987;883;6465050
Nov 21 2017;0.150571;0.150916;0.130855;0.132748;1696;7307900
Nov 20 2017;0.158696;0.160039;0.139761;0.150543;5214;7694030
Nov 19 2017;0.134636;0.164025;0.134123;0.158770;4498;6522150
Nov 18 2017;0.141436;0.162312;0.133382;0.134886;2330;6846390
Nov 17 2017;0.146931;0.155688;0.133002;0.141980;620;7106950
Nov 16 2017;0.131824;0.156841;0.128875;0.147172;1486;6371360
Nov 15 2017;0.135242;0.186234;0.130310;0.152168;27496;6531520
Nov 14 2017;0.102247;0.136443;0.098282;0.135149;20581;4934250
Nov 13 2017;0.094755;0.479233;0.093156;0.102031;26434;4569230
Nov 12 2017;0.100644;0.121948;0.083816;0.094617;9907;4849480
Nov 11 2017;0.127092;0.140235;0.094645;0.100718;18636;6119180
Nov 10 2017;0.127963;0.142128;0.119418;0.127546;11322;6156390
Nov 09 2017;0.125453;0.142684;0.114706;0.127584;8679;6031010
Nov 08 2017;0.095818;0.125591;0.095248;0.125582;17357;4545180
Nov 07 2017;0.114830;0.125437;0.094446;0.096119;637;5447040
Nov 06 2017;0.124555;0.170631;0.097930;0.115014;1867;5908390
Nov 05 2017;0.142866;0.186264;0.107508;0.119730;56306;6776980
Nov 04 2017;0.132489;0.150376;0.119886;0.143137;32971;6284710
Nov 03 2017;0.070571;0.133276;0.069784;0.132834;4825;3347570
Nov 02 2017;0.067959;0.086256;0.067959;0.070663;1735;3223690
Nov 01 2017;0.077028;0.082041;0.067208;0.067883;207;3653870
Oct 31 2017;0.065371;0.077084;0.065312;0.077084;1554;3100930
Oct 30 2017;0.074159;0.076124;0.064985;0.065594;348;3517810
Oct 29 2017;0.065304;0.113964;0.065136;0.074593;1563;3097740
Oct 28 2017;0.069161;0.076039;0.052183;0.065393;1312;3280710
Oct 27 2017;0.076882;0.078312;0.057798;0.068973;241;3646940
Oct 26 2017;0.090089;0.091305;0.071701;0.076864;118;4273450
Oct 25 2017;0.081781;0.101861;0.079359;0.090100;9104;3879360
Oct 24 2017;0.078301;0.088020;0.073233;0.081748;3350;3714290
Oct 23 2017;0.115712;0.115742;0.076105;0.078474;2388;-
Oct 22 2017;0.104595;0.132110;0.104595;0.115898;7319;-
Oct 21 2017;0.075049;0.113522;0.074344;0.104563;10371;-
Oct 20 2017;0.072281;0.076927;0.068496;0.075207;2334;-
Oct 19 2017;0.072355;0.072730;0.062120;0.072261;1025;-
Oct 18 2017;0.062056;0.072665;0.059475;0.072317;1040;-
Oct 17 2017;0.086291;0.089437;0.061667;0.062052;42;-
Oct 16 2017;0.059682;0.086729;0.059682;0.086278;2304;-
Oct 15 2017;0.076826;0.079270;0.057491;0.059674;343;-
Oct 14 2017;0.071253;0.089186;0.068023;0.076687;1698;-
Oct 13 2017;0.091029;0.098317;0.063075;0.069615;4056;-
Oct 12 2017;0.082464;0.097379;0.081798;0.090750;2627;-
Oct 11 2017;0.093551;0.093942;0.078530;0.082394;3936;-
Oct 10 2017;0.124822;0.126939;0.088909;0.093567;8293;-
Oct 09 2017;0.113254;0.128715;0.085285;0.124832;23235;-
Oct 08 2017;0.102203;0.114625;0.084378;0.113225;15691;-
Oct 07 2017;0.099635;0.129741;0.096548;0.102477;1816;-
Oct 06 2017;0.107964;0.118715;0.097446;0.099603;414;-
Oct 05 2017;0.124604;0.125473;0.079536;0.107965;9490;-
Oct 04 2017;0.131040;0.131415;0.113638;0.124491;886;-
Oct 03 2017;0.127899;0.182652;0.119049;0.130737;10945;-
Oct 02 2017;0.117661;0.132560;0.114251;0.127894;3279;-
Oct 01 2017;0.146373;0.146753;0.112813;0.117713;1675;-
Sep 30 2017;0.102089;0.146294;0.100555;0.146294;15542;-
Sep 29 2017;0.099263;0.119231;0.095820;0.102076;2588;-
Sep 28 2017;0.102495;0.104168;0.091062;0.099340;2939;-
Sep 27 2017;0.081933;0.115754;0.081933;0.102491;2487;-
Sep 26 2017;0.096210;0.099528;0.082014;0.082162;800;-
Sep 25 2017;0.093094;0.113591;0.084732;0.096219;2085;-
Sep 24 2017;0.078498;0.107756;0.066103;0.093189;4517;-
Sep 23 2017;0.061432;0.099199;0.060842;0.078505;2338;-
Sep 22 2017;0.080238;0.081530;0.058380;0.061606;2000;-
Sep 21 2017;0.071692;0.098851;0.064884;0.080330;6139;-
Sep 20 2017;0.060974;0.126809;0.048711;0.072045;11548;-
Sep 19 2017;0.065075;0.071473;0.061055;0.061055;2316;-
Sep 18 2017;0.058309;0.069713;0.058309;0.064918;956;-
Sep 17 2017;0.060772;0.060772;0.054674;0.058425;73;-
Sep 16 2017;0.070847;0.071933;0.052319;0.060677;252;-
Sep 15 2017;0.053573;0.082535;0.049740;0.070195;10624;-
Sep 14 2017;0.058160;0.076639;0.053657;0.053657;3244;-
Sep 13 2017;0.066276;0.074899;0.038890;0.058156;6474;-
Sep 12 2017;0.081540;0.101127;0.059931;0.066254;3037;-
Sep 11 2017;0.094813;0.113605;0.054883;0.081566;1563;-
Sep 10 2017;0.147035;0.147035;0.086388;0.094514;8355;-
Sep 09 2017;0.106067;0.303468;0.086900;0.137596;20548;-
Sep 08 2017;0.085801;0.126124;0.085317;0.105877;11574;-
Sep 07 2017;0.076768;0.092833;0.070049;0.085824;7377;-
Sep 06 2017;0.039842;0.089126;0.039842;0.076736;16944;-
